3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  10:12,123620.00,0.00,286510.00,734880.00,41730.00,147900.00,0.00,134770.00,1800.00,349900.00,84590.00,58880.00,19270.00
Aug 11 24  10:13,125410.00,0.00,291920.00,734140.00,40280.00,151140.00,0.00,136480.00,1800.00,353120.00,84390.00,58880.00,19270.00
Aug 11 24  10:14,128170.00,0.00,290920.00,733740.00,40880.00,151940.00,0.00,136480.00,1790.00,355230.00,84480.00,59310.00,19270.00
Aug 11 24  10:15,135570.00,0.00,289780.00,732930.00,40650.00,153170.00,1640.00,136480.00,1790.00,356040.00,86600.00,59310.00,19810.00
Aug 11 24  10:16,137890.00,0.00,290190.00,733690.00,41040.00,152580.00,1640.00,137540.00,1780.00,353450.00,84540.00,59310.00,19810.00
Aug 11 24  10:17,133280.00,0.00,290340.00,731180.00,40190.00,153550.00,1640.00,137540.00,1780.00,363080.00,84440.00,59260.00,20200.00
Aug 11 24  10:18,122610.00,0.00,289060.00,730870.00,40920.00,153110.00,1630.00,139430.00,1780.00,364440.00,84180.00,59260.00,20200.00
Aug 11 24  10:19,129350.00,0.00,290340.00,744110.00,42400.00,153890.00,1630.00,139430.00,1780.00,366700.00,84470.00,59340.00,20200.00
Aug 11 24  10:20,133150.00,0.00,288750.00,730040.00,43700.00,151670.00,1650.00,139430.00,1780.00,359340.00,84420.00,59340.00,20150.00
Aug 11 24  10:21,140290.00,0.00,287850.00,727340.00,42030.00,148150.00,1650.00,140880.00,1800.00,353480.00,84310.00,59340.00,20150.00
Aug 11 24  10:22,140460.00,0.00,291780.00,730630.00,42790.00,150580.00,1650.00,140880.00,1800.00,347290.00,85210.00,59240.00,20880.00
Aug 11 24  10:23,137950.00,0.00,289910.00,727330.00,41560.00,151650.00,1650.00,140900.00,1800.00,350030.00,84430.00,59240.00,20880.00
Aug 11 24  10:24,139300.00,0.00,289520.00,734030.00,42600.00,155100.00,1650.00,140900.00,1790.00,353960.00,84120.00,59250.00,20880.00
